bin_name,bin_arch,is_static,is_stripped,used_libs,keywords,checksec,used_nvram_env,full_path,bdg
stunnel,MIPS,0,1,"['libdl.so.0', 'libutil.so.0', 'libnsl.so.0', 'libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libpthread.so.0', 'libz.so.1', 'libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/stunnel,[]
snmpd,MIPS,0,1,"['libpthread.so.0', 'libssl.so.0.9.8', 'libcrypto.so.0.9.8', 'libgcc_s.so.1', 'libc.so.0']","['SNMP_PERSISTENT_DIR', 'HOME', 'MIBFILES', 'MIBS', 'MIBDIRS', 'PREFIX', 'SNMP_PERSISTENT_FILE', 'SNMPCONFPATH']","{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/snmpd,"['ldapsearch', 'snmptrap', 'ldapwhoami']"
udhcpd,MIPS,0,1,"['libm.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/udhcpd,[]
servd,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/servd,[]
statistic,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/statistic,[]
dhcpxmlpatch,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/dhcpxmlpatch,[]
ap_igmp,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/ap_igmp,[]
vethctl,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/vethctl,[]
pop3client,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/pop3client,[]
arptables,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/arptables,[]
ethreg,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/ethreg,[]
neapc,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/neapc,[]
static_dhcp,MIPS,0,0,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/static_dhcp,[]
lld2d,MIPS,0,1,"['libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/lld2d,[]
radlogin,MIPS,0,0,"['libradiusclient-ng.so.2', 'libcrypt.so.0', 'libnsl.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/sbin/radlogin,[]
captival_portal,MIPS,0,0,"['libpthread.so.0', 'libgcc_s.so.1', 'libc.so.0']",[],"{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",0,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/usr/local/etc/captival/captival_portal,[]
busybox,MIPS,0,1,['libc.so.0'],"['DEVPATH', 'SUBSYSTEM', 'SEQNUM', 'FIRMWARE', 'ACTION', 'PATH', 'LINES', 'PATH', 'RUNLEVEL']","{'RELRO': 0, 'Canary': 0, 'NX': 0, 'PIE': 0, 'rpath': 0, 'runpath': 0}",1,_DAP-2360B-firmware-v201-rc012.bin.extracted/squashfs-root/bin/busybox,['httpd']
