Vendor,Model,Version,Date,Checksum,Description,Download
D-Link(KR),DIR-868L,DIR-868L v2.00KR-K05 ,2015-12-07,,--업데이트 내용-- * 초기 설치 시 설정마법사를 통해 보안 강화하도록WEB GUI 디자인 변경.,https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K05.bin
D-Link(KR),DIR-868L,DIR-868L v2.00KR-K04 ,2015-11-13,,"--업데이트 내용--* VPN 서버 설정 시, IE 에서 사용자 2명이상 추가 불가 문제 수정* 공유기 IP 대역 변경 시 VPN 서버 WEB UI에서 반영 안되는 문제 수정* 관리자 비밀번호 규칙 변경 (특수문자 + 영문 + 숫자)",https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K04.bin
D-Link(KR),DIR-868L,DIR-868L v2.00KR-K03 ,2015-10-16,,--업데이트 내용--* 일부 스마트폰 SMB 어플과 호환성 수정* Shareport Web Access에서 긴 폴더명을 위한 스크롤바 기능 추가,https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K03.bin
D-Link(KR),DIR-868L,DIR-868L v2.00KR-K02 ,2015-10-12,,--업데이트 내용--* 부팅시 Multicast Traffic 으로 인한 IP 미할당문제 수정* DHCP 임대 만료시간 범위 오류 수정* DHCP 임대 범위 오류 수정* QoS 대역폭 기본값 수정 (기본값 1000Mbps),https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR-K02.bin
D-Link(KR),DIR-868L,DIR-868L v2.00KR-K01 ,2015-10-02,,--업데이트 내용--* WEB GUI 버그 수정* WEB GUI 가독성 향상* WEB GUI 한글 표기 수정* 속도 저하 증상 발생 시 초기화 또는 QoS 대역폭 수정 후 사용 권장.,https://mydlink.co.kr/2008/data/DIR868LWB1_FW200KR-K01.bin
D-Link(KR),DIR-868L,DIR-868L v2.00KR ,2015-09-16,,"* 새로운 GUI 방식의 펌웨어 v2.00KR 정식버전입니다.--- 업데이트 내용 ---* 한글 오타 수정.(수정이 안된것처럼 보이는 분들은 \""F5\"" 새로고침을 하면 정상적으로 표시됩니다.)* QoS 설정관련 오류 수정.* 속도 저하 증상 발생 시 초기화 또는 QoS 대역폭 수정 후 사용 권장.* SSDP 관련 보안 강화.* CAPCHA 기본 동작.",https://mydlink.co.kr/2008/data/DIR868LB1_FW200KR.bin
D-Link(KR),DIR-850LW,FW V1.24KR ,2020-08-11,,--업데이트 내용--* DDNS 서비스 타입 추가- NO-IP DNS,https://mydlink.co.kr/2008/data/DIR850LWA1_FW124KR.bin
D-Link(KR),DIR-850LW,FW V1.23KR ,2020-05-26,,--업데이트 내용--* 인터넷 연결 끊김 현상 개선,https://mydlink.co.kr/2008/data/DIR850LWA1_FW123KR.bin
D-Link(KR),DIR-850LW,FW V1.22KR ,2018-06-28,,--업데이트 내용--* 고급 설정 > WEB Wake on Lan 기능 추가-> 해당 기능은 포트포워딩 설정 없이 공유기 WEB GUI에서 사용하는 WOL 기능입니다.,https://mydlink.co.kr/2008/data/DIR850LWA1_FW122KR.BIN
D-Link(KR),DIR-850LW,FW V1.21KR ,2018-02-21,,"1.15KR 이하 버전 펌웨어 사용자는 업데이트 하기 전 반드시 아래에 있는 v1.16KRb01 펌웨어를 먼저 업데이트 바랍니다.이 과정을 생략 시 업데이트가 진행되지 않습니다.또한 한글 호환성이 발생될 수 있으니, 한글언어팩 1.20버전을 사용해 주시기 바랍니다.1) 1.16KRb01 펌웨어로 업그레이드 하기.2) 1.21KR 펌웨어로 업그레이드 하기.3) 한글언어팩 1.20 버전으로 업그레이드 하기.--업데이트 내역--* 쉐어포트를 프린터 서버로 사용 시 끊김 버그 수정* 일부 한글 표기 수정",https://mydlink.co.kr/2008/data/DIR850LWA1_FW121KR.bin
D-Link(KR),DIR-850LW,FW V1.20KRB05 ,2018-01-19,,펌웨어를 업데이트 하기 전 반드시 아래에 있는 v1.16KRb01 펌웨어를 먼저 업데이트 바랍니다.이 과정을 생략 시 업데이트가 진행되지 않습니다.--업데이트 내역--* 쉐어포트 원격 접속 기능 추가* WPA2 KRACK 보안 패치* DNSmasq 2.78버전 적용* 보안 강화,https://mydlink.co.kr/2008/data/DIR850L_FW120KRb05.bin
D-Link(KR),DIR-850LW,한글 언어팩 V1.20 ,2018-01-19,,* 표기 오류 수정,https://mydlink.co.kr/2008/data/DIR850L_FW120KRb05.lng
D-Link(KR),DIR-850LW,FW V1.16KRb01 ,2018-01-18,,* 해당 버전은 v1.20KRb05 버전을 업데이트 하기 위한 중간 단계 펌웨어 입니다.v1.20KRb05 버전으로 업데이트 하기 전 반드시 이 펌웨어를 먼저 업데이트 하시기 바랍니다.,https://mydlink.co.kr/2008/data/DIR850L_FW116KRb01_middle.bin
D-Link(KR),DIR-850LW,FW V1.15KRb07 ,2016-08-01,,"-- 업데이트 내역 --*하드웨어 A1 전용 펌웨어입니다.*SKB IPTV, LG TVG와 호환성 개선",https://mydlink.co.kr/2008/data/DIR850LW_FW115KRb07.bin
D-Link(KR),DIR-850LW,FW V1.15KRb06 ,2016-05-23,,-- 업데이트 내역 --*하드웨어 A1 전용 펌웨어입니다.*DLNA 사용 시 자동 목록 갱신이 안되던 문제 수정.,https://mydlink.co.kr/2008/data/DIR850L_FW115KRb06.bin
D-Link(KR),DIR-850LW,FW V1.15KRb05 ,2016-05-03,,-- 업데이트 내역 --*하드웨어 A1 전용 펌웨어입니다.*연결된 무선 클라이언트의 신호세기 표기 오류 수정,https://mydlink.co.kr/2008/data/DIR850L_FW115KRb05.bin
D-Link(KR),DIR-850LW,FW V1.15KRb04 ,2016-01-29,,-- 업데이트 내역 --* 리피터 모드 사용 시 주변에 한글 SSID가 있으면 검색이 안되던 문제 수정* SDMZ를 설정한 PC에서 WAN IP 충돌 메시지가 발생했던 문제 수정,https://mydlink.co.kr/2008/data/DIR850LW_FW115KRb04.bin
D-Link(KR),DIR-850LW,FW V1.15KRb03 ,2015-11-04,,-- 업데이트 내역 --* 웹필터 설정 후 속도 저하되던 문제 해결,https://mydlink.co.kr/2008/data/DIR850L_FW115KRb03.bin
D-Link(KR),DIR-850LW,FW V1.15KRb02 ,2015-11-02,,"* 인터넷 사용 도중 WAN LED가 주황색 불로 변경되며,인터넷이 끊겼던 문제 해결",https://mydlink.co.kr/2008/data/DIR850L_FW115KRb02.bin
